Paper_ID,Paper_or_discovery,Field_or_platform,Origin_country_or_countries,Beneficiary_country,Beneficiary_country_iso3,Beneficiary_role,Value_capture_channels,Benefit_strength,Benefit_confidence,Revenue_capture_share_low_pct,Revenue_capture_share_base_pct,Revenue_capture_share_high_pct,Estimate_basis,Evidence_urls,Value_capture_notes,Assumption_status,Update_date
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,UK,China,CHN,Battery cell manufacturing; cathode/anode active materials; EV manufacturing; stationary storage deployment,Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand,Very high,High,25,40,60,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,China,CHN,Rare-earth refining; sintered NdFeB magnet manufacturing; EV motors; wind turbines; electronics supply chains,Materials processing; magnet manufacturing; component supply; export leverage,Very high,High,45,65,85,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,https://www.iea.org/reports/rare-earth-elements/executive-summary,"Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
19,Organic electroluminescent diodes,OLED displays / organic electronics,USA,China,CHN,OLED/display-panel manufacturing; smartphone and consumer-electronics assembly; display supply-chain scaling,Panel production; module integration; device assembly; domestic and export markets,High,Medium,15,30,50,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,China,CHN,Solar PV wafer/cell/module manufacturing; PV manufacturing equipment; large-scale deployment,Manufacturing capacity; exports; domestic installations; equipment supply,Very high,High,55,70,85,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,Paper originated in Australia; China captured much of PERC-era PV manufacturing value.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,China,CHN,"Telecom equipment, mobile-network deployment, handset ecosystem, mobile data services",Network infrastructure; standards implementation; mobile services; cloud/IoT applications,High,Medium,10,20,35,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,USA,China,CHN,Device manufacturing; smartphone cameras; automotive/industrial vision; security-camera ecosystems,Electronics manufacturing; camera module integration; phones; automotive/IoT vision,High,Medium,15,25,40,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,China,CHN,LED lighting manufacturing; displays; automotive lighting; consumer electronics,Lighting product manufacturing; exports; domestic efficiency mandates; device integration,High,Medium,25,40,60,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,USA,China,CHN,4G/5G telecom equipment; massive mobile-network deployment; handset and mobile-service ecosystems,Network equipment; mobile services; device supply chain; industrial internet,High,Medium,15,30,45,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"Value also captured by US, Europe, Korea, Japan, India and global operators.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,USA,China,CHN,LFP battery cell manufacturing; cathode active material; EV batteries; grid storage,Battery supply chain; LFP cathode scaling; EV exports; stationary storage,Very high,High,45,60,75,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
38,The Google File System,Google File System / cloud data infrastructure,USA,China,CHN,Large-scale cloud/data infrastructure; China domestic cloud platforms; data centers; Internet services,Cloud services; big data infrastructure; Internet platforms; data-center operations,Medium,Medium,10,20,35,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect ecosystem influence; not a direct China implementation of Google File System.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
39,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,USA,China,CHN,Big-data analytics; cloud data processing; domestic Internet platforms; enterprise analytics,Cloud analytics; data pipelines; Internet-scale computation; data centers,Medium,Medium,10,20,35,MapReduce influenced Hadoop and cloud analytics worldwide; China’s digital infrastructure and cloud/big-data businesses are significant domestic value-capture channels.,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"Indirect platform influence, not paper-specific revenue.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
41,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,USA,China,CHN,Cloud databases; NoSQL platforms; large-scale structured-data storage,Cloud database services; data-center platforms; Internet services,Medium,Medium,10,20,35,"Bigtable influenced NoSQL/cloud storage systems; China’s data-center, cloud and big-data ecosystem is a significant beneficiary channel.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect influence; specific database products should be audited separately.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
47,ImageNet classification with deep convolutional neural networks / AlexNet,Deep learning / computer vision,Canada,China,CHN,"Computer vision in manufacturing, phones, cameras, autonomous systems, retail and public-sector AI",AI software; vision systems; edge AI; camera ecosystems; industrial automation,High,Medium,15,30,45,"Stanford AI Index reports China leads in AI publication volume, citations and patent grants; China also has very large deployment channels in manufacturing and digital infrastructure.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years; https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Revenue capture is global and difficult to isolate; US cloud/GPU firms capture large shares too.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
48,Deep residual learning for image recognition / ResNet,Residual networks / computer vision,China; USA,China,CHN,Computer vision platform research and deployment; Chinese-based origin via Microsoft Research Asia; manufacturing/robotics/AI use cases,Research leadership; AI software; edge vision; industrial automation; camera/phone ecosystems,High,Medium-high,20,35,55,"ResNet originated at Microsoft Research Asia in Beijing; Stanford AI Index reports China leads in AI publication volume, citations and patent grants.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"This row is both China-origin-linked and China-beneficiary-linked; Microsoft is a US-headquartered firm, so corporate value capture differs from location of research.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
49,"You Only Look Once: unified, real-time object detection",YOLO real-time object detection,USA,China,CHN,"Real-time object detection in factories, robots, cameras, vehicles and retail analytics",Edge AI; robotics; smart manufacturing; video analytics; automotive perception,High,Medium,20,35,55,China is the largest industrial-robot market and a major AI research/deployment country; YOLO-style detection is widely used in edge/computer-vision deployments.,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Open-source and model-family diffusion make revenue attribution diffuse.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
50,Attention Is All You Need,Transformers / foundation models,USA,China,CHN,"LLMs, generative AI applications, search/recommendation, enterprise AI, robotics and AI chips/infrastructure demand",Foundation models; AI apps; cloud inference; data centers; enterprise productivity tools,High,Medium,15,25,40,"Stanford AI Index reports China leads AI publications, citations and patent grants, while the US leads notable model development; China is therefore a major beneficiary but not sole capturer.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"US firms, Taiwan semiconductor manufacturing, Korea memory, and global cloud ecosystems capture large shares too.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
51,BERT: pre-training of deep bidirectional transformers for language understanding,BERT / pretrained language models,USA,China,CHN,Search/NLP systems; recommendation; enterprise AI; Chinese-language NLP; customer-service and document AI,NLP products; search/recommendation; enterprise AI; cloud AI APIs,High,Medium,15,25,40,"BERT is part of the transformer/NLP platform; Stanford AI Index reports China leads in AI publications, citations and patent grants, supporting substantial China benefit through NLP deployment.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"Value capture is shared across US, China, Europe, India, Japan, Korea and global cloud/software providers.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
53,Colloidal semiconductor nanocrystals / quantum dots paper family,Quantum dots / QD displays and nanomaterials,USA,China,CHN,Quantum-dot display supply chain; display materials; TV/monitor manufacturing; consumer electronics,Display manufacturing; materials; device assembly; export markets,Medium-high,Medium,15,30,45,"Quantum dots are a display-materials platform; global quantum-dot display market forecasts are multi-billion-dollar, and China has a major display manufacturing ecosystem.",https://www.factmr.com/report/4424/quantum-dot-display-market; https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea, Japan, US and Taiwan-linked firms also capture display/material value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
54,ROS: an open-source Robot Operating System,Robot Operating System / ROS,USA,China,CHN,Industrial robotics software ecosystem; robot integration; automation services; robot manufacturing,Robotics deployment; integrators; manufacturing automation; open-source software adoption,High,Medium,20,35,55,IFR reports China represented 54% of global industrial-robot deployments in 2024 and Chinese manufacturers held 57% of the domestic market.,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,ROS is open-source; benefit is mainly productivity and ecosystem enablement rather than direct licensing.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
55,Probabilistic SLAM / simultaneous localization and mapping paper family,SLAM / autonomous robotics,Germany; USA,China,CHN,"Robotics, drones, autonomous mobile robots, mapping, logistics automation and AR/vision systems",Robot deployment; drones; warehouse automation; vehicle/robot perception; mapping,High,Medium,20,35,55,SLAM is a core autonomy method; IFR reports China is the largest industrial-robot market with 54% of deployments in 2024 and over 2 million robots in operation.,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"Autonomous-vehicle, drone and logistics shares require additional product-level validation.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
57,Denoising diffusion probabilistic models,Diffusion generative models,USA,China,CHN,Generative AI image/video/content tools; design software; e-commerce/media applications,AI apps; cloud inference; model deployment; creative tools; e-commerce content generation,Medium-high,Medium,10,20,35,Diffusion models are part of generative AI; Stanford AI Index reports China has broad AI research/patent leadership but the US leads in notable model development.,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,Revenue is strongly shared with US cloud/platform firms and global AI application companies.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
59,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,Deep reinforcement learning / game AI,UK,China,CHN,AI research; robotics/control; game AI; optimization; autonomous systems,AI talent/research; robotics; automation; optimization systems,Medium,Medium,10,20,35,"Deep RL/AlphaGo catalyzed AI interest and research; Stanford AI Index reports China leads in AI research outputs, and IFR reports China leads industrial robot deployment.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Commercial revenue is less direct than transformers or batteries; treat as a soft platform-benefit estimate.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
