paper_id,paper_or_discovery,field_or_platform,origin_country_list,beneficiary_country,beneficiary_country_iso3,beneficiary_role,revenue_capture_low_usd,revenue_capture_base_usd,revenue_capture_high_usd,profit_proxy_low_usd,profit_proxy_base_usd,profit_proxy_high_usd,confidence_level,evidence_summary,sources,analyst_notes
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,China,CHN,manufacturing,,,,,,,china_high,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,China update: strength=Very high; raw role=Battery cell manufacturing; cathode/anode active materials; EV manufacturing; stationary storage deployment; channels=Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand; notes=Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,China,CHN,manufacturing,,,,,,,china_high,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,https://www.iea.org/reports/rare-earth-elements/executive-summary,"China update: strength=Very high; raw role=Rare-earth refining; sintered NdFeB magnet manufacturing; EV motors; wind turbines; electronics supply chains; channels=Materials processing; magnet manufacturing; component supply; export leverage; notes=Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
19,Organic electroluminescent diodes,OLED displays / organic electronics,United States,China,CHN,manufacturing,,,,,,,china_medium,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"China update: strength=High; raw role=OLED/display-panel manufacturing; smartphone and consumer-electronics assembly; display supply-chain scaling; channels=Panel production; module integration; device assembly; domestic and export markets; notes=South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,China,CHN,manufacturing,,,,,,,china_high,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,China update: strength=Very high; raw role=Solar PV wafer/cell/module manufacturing; PV manufacturing equipment; large-scale deployment; channels=Manufacturing capacity; exports; domestic installations; equipment supply; notes=Paper originated in Australia; China captured much of PERC-era PV manufacturing value.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,China,CHN,standards_ecosystem,,,,,,,china_medium,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"China update: strength=High; raw role=Telecom equipment, mobile-network deployment, handset ecosystem, mobile data services; channels=Network infrastructure; standards implementation; mobile services; cloud/IoT applications; notes=Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,United States,China,CHN,manufacturing,,,,,,,china_medium,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"China update: strength=High; raw role=Device manufacturing; smartphone cameras; automotive/industrial vision; security-camera ecosystems; channels=Electronics manufacturing; camera module integration; phones; automotive/IoT vision; notes=Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,China,CHN,manufacturing,,,,,,,china_medium,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"China update: strength=High; raw role=LED lighting manufacturing; displays; automotive lighting; consumer electronics; channels=Lighting product manufacturing; exports; domestic efficiency mandates; device integration; notes=Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,United States,China,CHN,standards_ecosystem,,,,,,,china_medium,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"China update: strength=High; raw role=4G/5G telecom equipment; massive mobile-network deployment; handset and mobile-service ecosystems; channels=Network equipment; mobile services; device supply chain; industrial internet; notes=Value also captured by US, Europe, Korea, Japan, India and global operators.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,China,CHN,manufacturing,,,,,,,china_high,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"China update: strength=Very high; raw role=LFP battery cell manufacturing; cathode active material; EV batteries; grid storage; channels=Battery supply chain; LFP cathode scaling; EV exports; stationary storage; notes=LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
38,The Google File System,Google File System / cloud data infrastructure,United States,China,CHN,cloud_compute,,,,,,,china_medium,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,China update: strength=Medium; raw role=Large-scale cloud/data infrastructure; China domestic cloud platforms; data centers; Internet services; channels=Cloud services; big data infrastructure; Internet platforms; data-center operations; notes=Indirect ecosystem influence; not a direct China implementation of Google File System.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
39,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,United States,China,CHN,cloud_compute,,,,,,,china_medium,MapReduce influenced Hadoop and cloud analytics worldwide; China’s digital infrastructure and cloud/big-data businesses are significant domestic value-capture channels.,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"China update: strength=Medium; raw role=Big-data analytics; cloud data processing; domestic Internet platforms; enterprise analytics; channels=Cloud analytics; data pipelines; Internet-scale computation; data centers; notes=Indirect platform influence, not paper-specific revenue.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
41,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,United States,China,CHN,cloud_compute,,,,,,,china_medium,"Bigtable influenced NoSQL/cloud storage systems; China’s data-center, cloud and big-data ecosystem is a significant beneficiary channel.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,China update: strength=Medium; raw role=Cloud databases; NoSQL platforms; large-scale structured-data storage; channels=Cloud database services; data-center platforms; Internet services; notes=Indirect influence; specific database products should be audited separately.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
47,ImageNet classification with deep convolutional neural networks / AlexNet,Deep learning / computer vision,Canada,China,CHN,manufacturing,,,,,,,china_medium,"Stanford AI Index reports China leads in AI publication volume, citations and patent grants; China also has very large deployment channels in manufacturing and digital infrastructure.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years; https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"China update: strength=High; raw role=Computer vision in manufacturing, phones, cameras, autonomous systems, retail and public-sector AI; channels=AI software; vision systems; edge AI; camera ecosystems; industrial automation; notes=Revenue capture is global and difficult to isolate; US cloud/GPU firms capture large shares too.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
48,Deep residual learning for image recognition / ResNet,Residual networks / computer vision,China; United States,China,CHN,manufacturing,,,,,,,china_medium-high,"ResNet originated at Microsoft Research Asia in Beijing; Stanford AI Index reports China leads in AI publication volume, citations and patent grants.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"China update: strength=High; raw role=Computer vision platform research and deployment; Chinese-based origin via Microsoft Research Asia; manufacturing/robotics/AI use cases; channels=Research leadership; AI software; edge vision; industrial automation; camera/phone ecosystems; notes=This row is both China-origin-linked and China-beneficiary-linked; Microsoft is a US-headquartered firm, so corporate value capture differs from location of research.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
49,"You Only Look Once: unified, real-time object detection",YOLO real-time object detection,United States,China,CHN,manufacturing,,,,,,,china_medium,China is the largest industrial-robot market and a major AI research/deployment country; YOLO-style detection is widely used in edge/computer-vision deployments.,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"China update: strength=High; raw role=Real-time object detection in factories, robots, cameras, vehicles and retail analytics; channels=Edge AI; robotics; smart manufacturing; video analytics; automotive perception; notes=Open-source and model-family diffusion make revenue attribution diffuse.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
50,Attention Is All You Need,Transformers / foundation models,United States,China,CHN,cloud_compute,,,,,,,china_medium,"Stanford AI Index reports China leads AI publications, citations and patent grants, while the US leads notable model development; China is therefore a major beneficiary but not sole capturer.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"China update: strength=High; raw role=LLMs, generative AI applications, search/recommendation, enterprise AI, robotics and AI chips/infrastructure demand; channels=Foundation models; AI apps; cloud inference; data centers; enterprise productivity tools; notes=US firms, Taiwan semiconductor manufacturing, Korea memory, and global cloud ecosystems capture large shares too.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
51,BERT: pre-training of deep bidirectional transformers for language understanding,BERT / pretrained language models,United States,China,CHN,cloud_compute,,,,,,,china_medium,"BERT is part of the transformer/NLP platform; Stanford AI Index reports China leads in AI publications, citations and patent grants, supporting substantial China benefit through NLP deployment.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"China update: strength=High; raw role=Search/NLP systems; recommendation; enterprise AI; Chinese-language NLP; customer-service and document AI; channels=NLP products; search/recommendation; enterprise AI; cloud AI APIs; notes=Value capture is shared across US, China, Europe, India, Japan, Korea and global cloud/software providers.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
53,Colloidal semiconductor nanocrystals / quantum dots paper family,Quantum dots / QD displays and nanomaterials,United States,China,CHN,manufacturing,,,,,,,china_medium,"Quantum dots are a display-materials platform; global quantum-dot display market forecasts are multi-billion-dollar, and China has a major display manufacturing ecosystem.",https://www.factmr.com/report/4424/quantum-dot-display-market; https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"China update: strength=Medium-high; raw role=Quantum-dot display supply chain; display materials; TV/monitor manufacturing; consumer electronics; channels=Display manufacturing; materials; device assembly; export markets; notes=South Korea, Japan, US and Taiwan-linked firms also capture display/material value.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
54,ROS: an open-source Robot Operating System,Robot Operating System / ROS,United States,China,CHN,manufacturing,,,,,,,china_medium,IFR reports China represented 54% of global industrial-robot deployments in 2024 and Chinese manufacturers held 57% of the domestic market.,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,China update: strength=High; raw role=Industrial robotics software ecosystem; robot integration; automation services; robot manufacturing; channels=Robotics deployment; integrators; manufacturing automation; open-source software adoption; notes=ROS is open-source; benefit is mainly productivity and ecosystem enablement rather than direct licensing.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
55,Probabilistic SLAM / simultaneous localization and mapping paper family,SLAM / autonomous robotics,Germany; United States,China,CHN,adoption_market,,,,,,,china_medium,SLAM is a core autonomy method; IFR reports China is the largest industrial-robot market with 54% of deployments in 2024 and over 2 million robots in operation.,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"China update: strength=High; raw role=Robotics, drones, autonomous mobile robots, mapping, logistics automation and AR/vision systems; channels=Robot deployment; drones; warehouse automation; vehicle/robot perception; mapping; notes=Autonomous-vehicle, drone and logistics shares require additional product-level validation.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data."
57,Denoising diffusion probabilistic models,Diffusion generative models,United States,China,CHN,cloud_compute,,,,,,,china_medium,Diffusion models are part of generative AI; Stanford AI Index reports China has broad AI research/patent leadership but the US leads in notable model development.,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,China update: strength=Medium-high; raw role=Generative AI image/video/content tools; design software; e-commerce/media applications; channels=AI apps; cloud inference; model deployment; creative tools; e-commerce content generation; notes=Revenue is strongly shared with US cloud/platform firms and global AI application companies.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
59,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,Deep reinforcement learning / game AI,United Kingdom,China,CHN,adoption_market,,,,,,,china_medium,"Deep RL/AlphaGo catalyzed AI interest and research; Stanford AI Index reports China leads in AI research outputs, and IFR reports China leads industrial robot deployment.",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,China update: strength=Medium; raw role=AI research; robotics/control; game AI; optimization; autonomous systems; channels=AI talent/research; robotics; automation; optimization systems; notes=Commercial revenue is less direct than transformers or batteries; treat as a soft platform-benefit estimate.; status=Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.
