paper_id,year,paper_or_discovery,field_or_platform,broad_area,origin_country_list,public_private_origin,pi_platform_family,pi_capability,science_acceleration_domain,pi_relevance,classification_basis
1,1976,Ethernet: Distributed packet switching for local computer networks,Networking / Ethernet,Technology / Computer Networks,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
2,1976,New directions in cryptography / Diffie-Hellman key exchange,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Learn from physical-world data,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
2,1976,New directions in cryptography / Diffie-Hellman key exchange,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Secure and coordinate infrastructure,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
3,1978,A method for obtaining digital signatures and public-key cryptosystems / RSA,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Learn from physical-world data,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
3,1978,A method for obtaining digital signatures and public-key cryptosystems / RSA,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Secure and coordinate infrastructure,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
4,1980,The case for the reduced instruction set computer,RISC architecture,Technology / Computer Architecture,United States,Public,"Compute, data and network infrastructure",Indirect enabling context,Cross-domain science infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
6,1983,Chemical amplification in the design of dry developing resist materials,Chemical amplification photoresists / lithography,Engineering / Semiconductor Manufacturing,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
6,1983,Chemical amplification in the design of dry developing resist materials,Chemical amplification photoresists / lithography,Engineering / Semiconductor Manufacturing,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
6,1983,Chemical amplification in the design of dry developing resist materials,Chemical amplification photoresists / lithography,Engineering / Semiconductor Manufacturing,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
6,1983,Chemical amplification in the design of dry developing resist materials,Chemical amplification photoresists / lithography,Engineering / Semiconductor Manufacturing,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Synthesize and test,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Synthesize and test,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
7,1984,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Materials Science / Electromechanical Systems,Japan,Private,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
8,1985,Glyphosate-tolerant plant cells,Herbicide-tolerant crops,Engineering / Agricultural Biotechnology,United States,Private,Agricultural biotechnology,Manipulate and manufacture,Agriculture,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
9,1985,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,Biology / Diagnostics,United States,Private,Molecular biology and bioengineering,Perceive and measure,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
9,1985,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,Biology / Diagnostics,United States,Private,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
9,1985,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,Biology / Diagnostics,United States,Private,Molecular biology and bioengineering,Learn from physical-world data,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
10,1985,Cloning and expression of the human erythropoietin gene,Recombinant erythropoietin,Biology / Biopharma,United States,Private,Molecular biology and bioengineering,Indirect enabling context,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
11,1985,Filamentous fusion phage: novel expression vectors that display cloned antigens on the virion surface,Phage display,Biology / Antibody Engineering,United States,Public,"Semiconductors, sensors and displays",Manipulate and manufacture,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
11,1985,Filamentous fusion phage: novel expression vectors that display cloned antigens on the virion surface,Phage display,Biology / Antibody Engineering,United States,Public,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
11,1985,Filamentous fusion phage: novel expression vectors that display cloned antigens on the virion surface,Phage display,Biology / Antibody Engineering,United States,Public,"Semiconductors, sensors and displays",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
11,1985,Filamentous fusion phage: novel expression vectors that display cloned antigens on the virion surface,Phage display,Biology / Antibody Engineering,United States,Public,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
12,1986,Replacing the complementarity-determining regions in a human antibody with those from a mouse,Humanized antibodies / CDR grafting,Biology / Antibody Therapeutics,United Kingdom,Public,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
13,1977,DNA sequencing with chain-terminating inhibitors,Sanger DNA sequencing,Biology / Genomics,United Kingdom,Public,Molecular biology and bioengineering,Perceive and measure,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
13,1977,DNA sequencing with chain-terminating inhibitors,Sanger DNA sequencing,Biology / Genomics,United Kingdom,Public,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
13,1977,DNA sequencing with chain-terminating inhibitors,Sanger DNA sequencing,Biology / Genomics,United Kingdom,Public,Molecular biology and bioengineering,Learn from physical-world data,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
14,1977,ML-236B / compactin and inhibition of HMG-CoA reductase,Statins / HMG-CoA reductase inhibitors,Biology / Pharma,Japan,Private,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
15,1977,Design of specific inhibitors of angiotensin-converting enzyme; captopril,ACE inhibitors / cardiovascular drugs,Biology / Pharma,United States,Private,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
16,1987,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,HER2 biomarker and targeted therapy,Biology / Oncology,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
17,1987,GLP-1 incretin biology papers enabling GLP-1 receptor agonists,GLP-1 incretin biology / diabetes and obesity medicines,Biology / Pharma,United States,Mixed,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
18,1987,Low-noise erbium-doped fibre amplifier operating at 1.54 micrometre,Erbium-doped fiber amplifier / optical networks,Engineering / Telecommunications,United Kingdom,Public,Other enabling platform,Learn from physical-world data,Cross-domain science infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
19,1987,Organic electroluminescent diodes,OLED displays / organic electronics,Materials Science / Displays,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
20,1987,Transgenic plants protected from insect attack,Bt insect-resistant transgenic crops,Engineering / Agricultural Biotechnology,Belgium,Private,Agricultural biotechnology,Manipulate and manufacture,Agriculture,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Learn from physical-world data,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Learn from physical-world data,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
21,1988,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,Giant magnetoresistance / data storage,Physics / Spintronics,France,Public,"Semiconductors, sensors and displays",Learn from physical-world data,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
22,1989,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Engineering / Solar Energy,Australia,Public,Solar and energy systems,Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
22,1989,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Engineering / Solar Energy,Australia,Public,Solar and energy systems,Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
23,1992,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,HPV virus-like-particle vaccines,Biology / Vaccines,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
