paper_id,year,paper_or_discovery,field_or_platform,broad_area,origin_country_list,public_private_origin,pi_platform_family,pi_capability,science_acceleration_domain,pi_relevance,classification_basis
24,1993,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,Engineering / Telecommunications,France,Public,"Compute, data and network infrastructure",Indirect enabling context,Aerospace and mobility,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
24,1993,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,Engineering / Telecommunications,France,Public,"Compute, data and network infrastructure",Indirect enabling context,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Perceive and measure,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Perceive and measure,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Perceive and measure,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Perceive and measure,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Perceive and measure,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Plan and control,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Plan and control,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Plan and control,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Plan and control,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Plan and control,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Learn from physical-world data,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Learn from physical-world data,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Learn from physical-world data,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Learn from physical-world data,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
25,1993,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,Engineering / Imaging Sensors,United States,Mixed,"Semiconductors, sensors and displays",Learn from physical-world data,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Plan and control,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
26,1994,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Physics / Optoelectronics,Japan,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
27,1994,The World-Wide Web,World Wide Web,Technology / Web,Switzerland,Public,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
28,1996,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,Engineering / Wireless Communications,United States,Private,"Compute, data and network infrastructure",Indirect enabling context,Aerospace and mobility,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
28,1996,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,Engineering / Wireless Communications,United States,Private,"Compute, data and network infrastructure",Indirect enabling context,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
29,1996,Effects of a selective inhibitor of the Abl tyrosine kinase on the growth of Bcr-Abl positive cells,BCR-ABL kinase inhibition / imatinib,Biology / Oncology Pharma,United States; Switzerland,Mixed,"Robotics, autonomy and perception",Plan and control,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
29,1996,Effects of a selective inhibitor of the Abl tyrosine kinase on the growth of Bcr-Abl positive cells,BCR-ABL kinase inhibition / imatinib,Biology / Oncology Pharma,United States; Switzerland,Mixed,"Robotics, autonomy and perception",Plan and control,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
29,1996,Effects of a selective inhibitor of the Abl tyrosine kinase on the growth of Bcr-Abl positive cells,BCR-ABL kinase inhibition / imatinib,Biology / Oncology Pharma,United States; Switzerland,Mixed,"Robotics, autonomy and perception",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
29,1996,Effects of a selective inhibitor of the Abl tyrosine kinase on the growth of Bcr-Abl positive cells,BCR-ABL kinase inhibition / imatinib,Biology / Oncology Pharma,United States; Switzerland,Mixed,"Robotics, autonomy and perception",Synthesize and test,Robotics and automation,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
30,1996,Enhancement of antitumor immunity by CTLA-4 blockade,CTLA-4 checkpoint blockade,Biology / Cancer Immunotherapy,United States,Public,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
31,1997,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,Chemistry / Energy Materials,United States,Public,Batteries and energy storage,Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
32,1997,Long short-term memory,LSTM sequence learning,Technology / Artificial Intelligence,Switzerland; Germany,Public,AI models and prediction,"Predict, model and generate",Cross-domain science infrastructure,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
33,1998,The PageRank citation ranking: bringing order to the Web,PageRank / Google search,Technology / Web Search,United States,Private,"Compute, data and network infrastructure","Predict, model and generate",Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
33,1998,The PageRank citation ranking: bringing order to the Web,PageRank / Google search,Technology / Web Search,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays","Predict, model and generate",Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays","Predict, model and generate",Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays","Predict, model and generate",Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays","Predict, model and generate",Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
34,1998,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,RNA interference,Biology / RNA Therapeutics,United States,Mixed,"Semiconductors, sensors and displays",Synthesize and test,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
35,2000,FinFET: a self-aligned double-gate MOSFET scalable to 20 nm,FinFET / double-gate MOSFET,Engineering / Semiconductor Devices,United States; Japan,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
35,2000,FinFET: a self-aligned double-gate MOSFET scalable to 20 nm,FinFET / double-gate MOSFET,Engineering / Semiconductor Devices,United States; Japan,Mixed,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
36,2002,Tumor-associated B7-H1 promotes T-cell apoptosis: a potential mechanism of immune evasion,PD-L1 immune checkpoint pathway,Biology / Cancer Immunotherapy,United States,Public,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
37,2003,Mutations in PCSK9 cause autosomal dominant hypercholesterolemia,PCSK9 inhibitors / cholesterol,Biology / Cardiometabolic Genetics,France; Lebanon; Canada,Public,Solar and energy systems,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
37,2003,Mutations in PCSK9 cause autosomal dominant hypercholesterolemia,PCSK9 inhibitors / cholesterol,Biology / Cardiometabolic Genetics,France; Lebanon; Canada,Public,Solar and energy systems,Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
38,2003,The Google File System,Google File System / cloud data infrastructure,Technology / Cloud Infrastructure,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
39,2004,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,Technology / Cloud Infrastructure,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
40,2005,Suppression of RNA recognition by Toll-like receptors: the impact of nucleoside modification and the evolutionary origin of RNA,Nucleoside-modified mRNA,Biology / mRNA Medicines,United States,Private,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
41,2006,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,Technology / Cloud Databases,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
42,2006,Four-color DNA sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,Sequencing by synthesis with reversible terminators,Biology / Genomics,United States,Private,Molecular biology and bioengineering,Perceive and measure,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
42,2006,Four-color DNA sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,Sequencing by synthesis with reversible terminators,Biology / Genomics,United States,Private,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
42,2006,Four-color DNA sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,Sequencing by synthesis with reversible terminators,Biology / Genomics,United States,Private,Molecular biology and bioengineering,Learn from physical-world data,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
43,2010,Rational design of cationic lipids for siRNA delivery,Ionizable lipid nanoparticles / RNA delivery,Biology / RNA Drug Delivery,Canada; United States,Mixed,Molecular biology and bioengineering,Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Biology and health,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
44,2010,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,Sofosbuvir / hepatitis C cure,Biology / Antiviral Pharma,United States,Private,"Semiconductors, sensors and displays",Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
